bubble_sort, bubble_sort_ja_ordenado, bubble_sort_inverso, merge_sort, merge_sort_ja_ordenado, merge_sort_inverso, quickSort, quickSort_ja_ordenado, quickSort_inverso
249000,125662.500000,142897.765625,140632.921875,70.016335,41.900002,-0.012000,23.552000,14.003000,14.058000
250000,132347.203125,110293.421875,99751.812500,57.953999,41.004002,-0.015000,20.714998,14.680000,14.284000
251000,98942.460938,109368.320312,119482.468750,50.990002,39.938999,-0.014000,17.532667,14.126000,14.198000
252000,104465.218750,98516.992188,97466.953125,52.554333,39.916000,-0.011000,17.572001,14.150000,14.373000
253000,127231.437500,137534.890625,141845.156250,77.901001,42.632999,-0.018000,21.593332,14.871000,15.117000
254000,144816.000000,135559.015625,140266.562500,62.075001,42.009998,-0.012000,21.323668,14.314000,14.417000
255000,136347.390625,151533.906250,146596.812500,90.489662,40.679001,-0.013000,29.649000,14.251000,14.244000
256000,141573.546875,150376.343750,134706.156250,68.112999,40.416000,-0.010000,22.343668,14.335000,14.271000
257000,135416.031250,128843.914062,145702.437500,60.301998,91.716003,-0.018000,21.374666,28.610001,26.229000
258000,139913.515625,145626.296875,143536.343750,99.162331,74.100998,-0.022000,35.937332,26.311001,27.482000
259000,143836.500000,139463.843750,142077.109375,63.574665,89.985001,-0.020000,21.545668,30.236000,30.283001
260000,142522.609375,134105.015625,141172.296875,66.014336,41.014000,-0.016000,24.472000,15.137000,14.532000
261000,138980.687500,143768.593750,148454.250000,63.430332,86.651001,-0.018000,21.627335,30.129000,30.254999
